0 1 2
0 2 2
0 3 4
0 4 1
0 5 1
0 6 2
0 8 1
0 9 1
0 10 1
0 11 1
0 13 1
0 16 52
0 21 1
0 22 1
0 23 1
0 26 1
0 44 1
0 48 1
0 51 1
0 53 1
0 56 2
0 57 1
0 60 1
0 61 1
0 69 1
0 81 1
0 82 2
0 83 7
0 85 3
0 96 2
0 98 6
0 99 1
0 103 1
0 104 3
0 105 1
0 117 1
0 119 2
0 120 1
0 122 1
0 127 1
0 130 3
0 132 1
0 133 1
0 134 1
0 136 1
0 137 1
0 139 1
0 140 1
0 144 1
0 145 1
0 146 2
0 149 113
0 155 3
0 157 1
0 158 1
0 160 6
0 162 1
0 173 1
0 174 1
0 175 1
0 177 5
0 178 2
0 179 1
0 182 1
0 183 1
0 184 2
0 189 1
0 190 1
0 191 1
0 193 2
0 195 3
0 197 1
0 199 1
0 200 2
0 201 1
0 211 1
0 215 3
0 216 1
0 219 11
0 220 1
0 225 1
0 226 1
0 228 4
0 229 6
0 232 88
0 233 1
0 235 1
0 241 1
0 242 1
0 249 1
0 250 5
0 251 5
0 258 1
0 264 3
0 265 1
0 266 1
0 273 1
0 277 2
0 284 1
0 286 2
0 288 2
0 291 1
0 295 1
0 297 3
0 300 1
0 311 1
0 313 2
0 315 1
0 319 1
0 324 1
0 337 5
0 338 1
0 345 1
0 347 15
0 350 4
0 355 1
0 356 1
0 360 2
0 365 3
0 367 1
0 369 1
0 371 1
0 372 1
0 377 1
0 378 2
0 381 2
0 385 1
0 388 1
0 392 1
0 393 2
0 396 3
0 398 56
0 399 2
0 407 1
0 411 1
0 417 1
0 420 1
0 438 1
0 440 1
0 441 1
0 442 1
0 450 1
0 451 3
0 453 1
0 455 1
0 459 6
0 461 3
0 466 1
0 468 2
0 472 1
0 473 1
0 474 7
0 481 6
0 482 2
0 483 48
0 487 9
0 488 1
0 496 14
0 498 1
0 506 2
0 520 1
0 522 1
0 523 31
0 526 1
0 527 1
0 532 1
0 533 1
0 534 1
0 540 1
0 546 1
0 547 1
0 548 1
0 555 1
0 557 29
0 561 19
0 563 1
0 564 1
0 565 2
0 568 2
0 573 1
0 575 2
0 576 1
0 579 1
0 583 1
0 585 2
0 587 1
0 588 3
0 590 1
0 593 2
0 595 2
0 603 1
0 605 1
0 612 3
0 616 1
0 618 1
0 619 1
0 621 2
0 622 1
0 623 1
0 624 2
0 631 1
0 634 1
0 637 1
0 638 1
0 639 1
0 640 1
0 642 1
0 644 1
0 649 1
0 656 1
0 658 1
0 659 4
0 661 5
0 662 1
0 663 5
0 664 1
0 669 1
0 670 6
0 672 2
0 675 1
0 677 12
0 682 1
0 683 1
0 689 1
0 692 1
0 693 1
0 695 1
0 697 1
0 700 1
0 705 1
0 706 1
0 711 12
0 712 1
0 722 11
0 723 1
0 726 1
0 728 33
0 733 1
0 735 1
0 737 6
0 738 1
0 746 1
0 754 1
0 755 1
0 757 1
0 758 3
0 759 1
0 760 1
0 763 4
0 765 1
0 767 1
0 768 35
0 770 1
0 771 1
0 773 1
0 782 5
0 783 1
0 786 1
0 787 1
0 789 1
0 790 1
0 797 1
0 799 2
0 804 1
0 805 62
0 806 1
0 809 1
0 812 1
0 821 1
0 824 1
0 827 1
0 836 1
0 838 1
0 842 3
0 843 2
0 848 1
0 851 2
0 853 1
0 858 1
0 860 1
0 864 2
0 869 4
0 872 1
0 873 15
0 875 1
0 882 1
0 890 1
0 893 2
0 894 1
0 897 1
0 899 1
0 903 1
0 905 2
0 910 1
0 912 1
0 913 1
0 917 1
0 918 1
0 919 1
0 920 52
0 923 1
0 925 2
0 926 1
0 927 1
0 928 1
0 933 7
0 934 2
0 936 1
0 941 3
0 946 18
0 949 1
0 951 7
0 954 1
0 956 1
0 958 1
0 961 1
0 964 2
0 966 2
0 967 1
0 975 1
0 977 1
0 980 1
0 982 1
0 989 2
0 991 2
0 992 1
0 994 1
0 999 1
0 1000 16
0 1002 1
0 1005 3
0 1007 1
0 1009 26
0 1014 2
0 1015 1
0 1016 1
0 1019 1
0 1020 2
0 1025 16
0 1030 1
0 1031 1
0 1039 1
0 1043 1
0 1044 2
0 1046 1
0 1048 3
0 1052 1
0 1059 1
0 1062 1
0 1065 1
0 1066 1
0 1067 1
0 1068 1
0 1070 1
0 1077 1
0 1078 1
0 1079 5
0 1080 1
0 1085 1
0 1087 1
0 1088 24
0 1094 1
0 1100 1
0 1105 9
0 1107 2
0 1108 1
0 1111 1
0 1113 1
0 1115 1
0 1118 13
0 1119 1
0 1129 13
0 1132 3
0 1140 2
0 1144 3
0 1148 3
0 1149 1
0 1155 200
0 1164 1
0 1166 2
0 1170 1
0 1171 3
0 1173 1
0 1174 2
0 1175 1
0 1180 4
0 1181 1
0 1185 1
0 1189 1
0 1191 2
0 1193 2
0 1194 1
0 1206 1
0 1217 1
0 1218 1
0 1219 1
0 1224 2
0 1225 1
0 1229 2
0 1230 1
0 1231 3
0 1232 1
0 1240 3
0 1242 7
0 1243 5
0 1244 2
0 1245 1
0 1247 1
0 1248 2
0 1254 1
0 1255 1
0 1260 1
0 1266 1
0 1270 1
0 1284 1
0 1285 1
0 1287 1
0 1288 1
0 1289 1
0 1290 1
0 1291 1
0 1292 1
0 1294 1
0 1295 1
0 1297 1
0 1299 1
0 1300 1
0 1303 1
0 1304 1
0 1308 1
0 1309 1
0 1311 1
0 1314 4
0 1320 1
0 1325 1
0 1332 2
0 1333 1
0 1337 1
0 1346 1
0 1347 1
0 1349 3
0 1350 1
0 1353 4
0 1357 2
0 1358 1
0 1360 1
0 1366 1
0 1373 1
0 1374 1
0 1375 1
0 1376 1
0 1377 1
0 1378 2
0 1383 3
0 1385 2
0 1386 3
0 1390 1
0 1393 1
0 1396 2
0 1398 1
0 1402 3
0 1406 1
0 1410 1
0 1412 3
0 1415 1
0 1424 1
0 1428 1
0 1429 4
0 1432 1
0 1434 1
0 1436 1
0 1437 3
0 1438 2
0 1442 3
0 1445 1
0 1446 4
0 1447 5
0 1453 5
0 1464 1
0 1470 2
0 1484 2
0 1485 1
0 1490 1
0 1491 1
0 1492 1
0 1493 2
0 1496 2
0 1500 3
0 1501 3
0 1502 1
0 1504 2
0 1508 1
0 1509 24
0 1511 5
0 1524 1
0 1527 2
0 1528 6
0 1529 1
0 1541 2
0 1545 1
0 1547 1
0 1553 1
0 1554 4
0 1556 1
0 1560 5
0 1564 1
0 1565 1
0 1570 1
0 1574 1
0 1580 1
0 1585 1
0 1590 1
0 1592 1
0 1593 2
0 1598 1
0 1601 2
0 1607 1
0 1617 2
0 1621 1
0 1628 1
0 1638 1
0 1640 1
0 1646 2
0 1652 2
0 1656 1
0 1658 1
0 1660 1
0 1661 1
0 1664 1
0 1666 1
0 1667 4
0 1668 7
0 1669 1
0 1671 9
0 1674 1
0 1676 3
0 1677 1
0 1687 1
0 1689 1
0 1693 1
0 1697 3
0 1700 3
0 1710 2
0 1717 1
0 1718 1
0 1723 1
0 1728 2
0 1729 1
0 1737 1
0 1740 1
0 1741 2
0 1743 3
0 1746 3
0 1755 5
0 1761 1
0 1763 1
0 1764 1
0 1769 1
0 1770 1
0 1781 4
0 1782 2
0 1783 1
0 1786 4
0 1788 1
0 1797 1
0 1798 3
0 1804 3
0 1806 1
0 1808 1
0 1809 1
0 1810 1
0 1811 1
0 1815 5
0 1825 4
0 1826 2
0 1827 3
0 1830 1
0 1833 2
0 1839 1
0 1844 1
0 1847 4
0 1848 1
0 1850 1
0 1857 1
0 1858 2
0 1860 1
0 1866 1
0 1867 2
0 1875 1
0 1878 1
0 1880 12
0 1886 2
0 1887 5
0 1890 1
0 1897 1
0 1899 1
0 1903 1
0 1905 2
0 1910 2
0 1912 15
0 1918 1
0 1920 78
0 1921 3
0 1923 8
0 1928 19
0 1929 1
0 1930 2
0 1934 1
0 1938 2
0 1939 2
0 1941 1
0 1947 1
0 1950 2
0 1951 2
0 1955 4
0 1963 1
0 1965 2
0 1967 1
0 1977 1
0 1979 6
0 1983 1
0 1984 1
0 1990 1
0 1999 1
0 2006 1
0 2085 3
0 2127 9
0 2140 4
0 2176 1
0 2217 1
0 2229 1
0 2236 1
0 2264 1
0 2418 1
0 2424 2
0 2441 1
0 2466 9
0 2520 30
0 2525 1
0 2550 3
0 2562 3
0 2598 6
0 2662 6
0 2736 2
0 2750 2
0 2838 1
0 2921 7
0 2965 1
0 2971 5
0 3000 1
0 3039 1
0 3113 3
0 3120 1
0 3129 4
0 3151 1
0 3171 1
0 3240 52
0 3249 1
0 3259 1
0 3264 1
0 3275 4
0 3282 1
0 3286 2
0 3288 2
0 3322 1
0 3377 3
0 3378 1
0 3398 65
0 3402 1
0 3409 1
0 3412 1
0 3420 1
0 3432 2
0 3453 16
0 3488 1
0 3544 1
0 3547 1
0 3554 1
0 3616 1
0 3642 1
0 3650 1
0 3654 1
0 3669 3
0 3683 1
0 3707 1
0 3751 1
0 3758 1
0 3768 1
0 3794 1
0 3800 1
0 3818 1
0 3837 1
0 3858 13
0 3882 1
0 3883 2
0 3966 1
0 3976 1
0 4092 11
0 4104 2
0 4158 39
0 4165 1
0 4175 1
0 4184 1
0 4185 1
0 4223 1
0 4237 1
0 4271 1
0 4362 2
0 4382 1
0 4500 1
0 4601 1
0 4618 1
0 4672 1
0 4695 1
0 4719 1
0 4740 8
0 4744 37
0 4747 1
0 4764 1
0 4985 1
0 5007 1
0 5025 3
0 5071 1
0 5074 1
0 5081 2
0 5105 5
0 5130 1
0 5144 1
0 5172 1
0 5181 1
0 5184 5
0 5198 2
0 5250 1
0 5263 41
0 5265 1
0 5427 3
0 5441 1
0 5493 1
0 5501 1
0 5508 1
0 5547 1
0 5598 1
0 5661 1
0 5682 2
0 5704 1
0 5734 2
0 5778 4
0 5785 1
0 5852 3
0 5899 1
0 5918 1
0 5942 2
0 5946 1
0 5952 1
0 5972 1
0 5973 1
0 5994 1
0 6008 38
0 6029 4
0 6053 1
0 6056 1
0 6067 20
0 6068 32
0 6073 2
0 6076 1
0 6081 1
0 6092 3
0 6099 1
0 6102 1
0 6113 1
0 6133 1
0 6146 1
0 6159 1
0 6191 2
0 6197 1
0 6209 8
0 6266 2
0 6309 1
0 6374 10
0 6426 1
0 6447 3
0 6514 1
0 6562 7
0 6654 1
0 6677 1
0 6681 1
0 6686 1
0 6692 1
0 6720 2
0 6731 1
0 6765 1
0 6780 3
0 6804 1
0 6808 1
0 6812 1
0 6814 9
0 6842 1
0 6857 1
0 6884 6
0 6915 2
0 6934 1
0 6958 57
0 7001 3
0 7032 1
0 7130 1
0 7137 33
0 7162 6
0 7166 1
0 7196 1
0 7213 1
0 7245 1
0 7247 20
0 7289 1
0 7312 1
0 7322 1
0 7338 1
0 7351 1
0 7359 1
0 7388 4
0 7389 1
0 7399 1
0 7432 2
0 7441 3
0 7445 3
0 7453 2
0 7460 1
0 7494 26
0 7514 1
0 7547 1
0 7558 1
0 7575 2
0 7614 1
0 7708 32
0 7740 3
0 7791 4
0 7850 3
0 7897 1
0 7912 1
0 7916 1
0 7993 1
0 8078 1
0 8142 1
0 8229 2
0 8265 1
0 8352 1
0 8388 1
0 8427 1
0 8469 2
0 8472 1
0 8491 200
0 8502 1
0 8527 1
0 8555 1
0 8577 2
0 8601 1
0 8603 9
0 8606 1
0 8620 1
0 8663 2
0 8697 9
0 8698 1
0 8708 1
0 8732 1
0 8737 2
0 8756 1
0 8774 1
0 8775 1
0 8820 1
0 8822 1
0 8828 3
0 8845 1
0 8894 1
0 8918 1
0 8946 1
0 8976 1
0 9001 2
0 9011 1
0 9088 2
0 9095 7
0 9172 2
0 9190 1
0 9192 20
0 9311 1
0 9354 1
0 9378 1
0 9406 1
0 9413 1
0 9444 5
0 9459 1
0 9462 3
0 9523 1
0 9551 1
0 9581 2
0 9628 4
0 9653 1
0 9672 1
0 9673 1
0 9700 5
0 9756 1
0 9765 6
0 9767 3
0 9770 2
0 9776 1
0 9786 3
0 9800 2
0 9850 2
0 9920 3
0 9933 1
0 9949 1
1 2 1
1 3 3
1 4 3
1 5 1
1 6 21
1 7 1
1 8 1
1 9 1
1 11 41
1 13 1
1 16 1
1 17 3
1 19 8
1 21 1
1 24 3
1 25 26
1 29 1
1 31 1
1 33 3
1 34 6
1 37 1
1 39 7
1 40 9
1 41 2
1 48 2
1 49 1
1 50 11
1 52 5
1 53 7
1 55 1
1 58 2
1 60 1
1 63 4
1 64 1
1 65 2
1 66 1
1 69 1
1 70 1
1 75 3
1 76 1
1 77 1
1 78 9
1 87 10
1 88 7
1 92 1
1 93 1
1 94 2
1 98 1
1 100 4
1 104 1
1 105 1
1 113 1
1 116 11
1 119 1
1 123 1
1 126 1
1 127 1
1 132 1
1 135 1
1 136 1
1 142 1
1 145 2
1 146 3
1 148 1
1 150 1
1 151 3
1 155 2
1 160 2
1 164 1
1 171 1
1 174 6
1 175 1
1 177 1
1 181 1
1 186 1
1 189 1
1 191 1
1 195 2
1 199 1
1 207 1
1 212 4
1 213 1
1 216 1
1 217 1
1 219 48
1 220 1
1 227 3
1 228 1
1 231 2
1 233 6
1 234 1
1 235 2
1 237 2
1 238 2
1 241 1
1 243 1
1 248 1
1 249 1
1 250 1
1 251 1
1 253 1
1 254 1
1 256 4
1 258 2
1 260 1
1 262 9
1 263 1
1 264 1
1 268 1
1 269 2
1 271 1
1 272 1
1 275 1
1 282 1
1 283 8
1 285 3
1 286 1
1 289 2
1 290 16
1 291 1
1 292 12
1 306 1
1 309 1
1 311 1
1 315 1
1 319 1
1 336 1
1 337 1
1 342 1
1 347 1
1 348 2
1 350 11
1 353 9
1 354 7
1 356 1
1 358 1
1 360 1
1 365 1
1 369 2
1 372 1
1 377 4
1 383 1
1 384 1
1 385 1
1 387 1
1 388 2
1 390 1
1 391 2
1 397 4
1 398 2
1 400 2
1 407 2
1 409 5
1 411 4
1 417 1
1 418 31
1 420 1
1 421 1
1 422 1
1 423 3
1 427 1
1 428 4
1 430 26
1 432 3
1 433 3
1 439 1
1 442 1
1 445 1
1 447 1
1 452 1
1 458 3
1 463 1
1 465 3
1 470 1
1 473 4
1 477 1
1 478 7
1 479 1
1 481 11
1 488 5
1 491 2
1 493 8
1 494 1
1 495 1
1 496 1
1 499 3
1 501 1
1 503 1
1 512 1
1 513 2
1 514 2
1 515 1
1 516 2
1 519 1
1 522 2
1 527 1
1 530 23
1 532 6
1 534 1
1 536 3
1 542 2
1 544 1
1 547 2
1 548 1
1 549 3
1 555 4
1 557 1
1 558 1
1 565 1
1 570 1
1 577 3
1 580 1
1 581 1
1 584 4
1 585 1
1 593 2
1 594 8
1 596 7
1 597 2
1 598 1
1 601 1
1 602 1
1 605 1
1 606 1
1 614 1
1 615 1
1 617 1
1 618 1
1 622 12
1 627 2
1 630 1
1 631 2
1 632 2
1 634 1
1 635 2
1 638 1
1 639 13
1 640 1
1 643 3
1 644 4
1 646 22
1 649 1
1 653 1
1 655 3
1 656 1
1 657 1
1 658 2
1 661 2
1 668 1
1 670 1
1 672 3
1 678 2
1 679 1
1 680 1
1 681 2
1 686 1
1 688 8
1 693 1
1 694 1
1 695 1
1 697 3
1 699 1
1 703 1
1 705 1
1 712 1
1 714 6
1 715 1
1 717 3
1 718 1
1 720 1
1 723 1
1 726 5
1 727 2
1 730 9
1 733 2
1 736 1
1 741 2
1 743 3
1 756 18
1 757 1
1 758 2
1 759 1
1 762 3
1 764 200
